POS,Name,B,T,BABIP,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BBT,GBT,FBT,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,SPE,STE,SR,RUN,ACT,CID,CTier,L10,BUY,SELL,Lock,VAR,VLvl
1B,Jake Burger,R,R,70,69,72,72,92,58,77,71,72,70,91,52,74,Normal,Pull,Pull,1,24,1,70,1,1,26,1,78,1,1,-,1,1,1,39,40,53,47,39,44,65,87,-,69,30,30,10,43,4,40,20,11,8,49,No,82206,Iron,10,0,12,Yes,N,0
SP,Ice Box Chamberlain,R,R,18,19,23,70,4,46,28,18,22,69,4,44,26,Normal,Spray,Spray,67,76,63,88,70,69,79,64,92,73,81,57,-,-,-,25,28,23,16,6,5,8,58,-,-,-,-,-,-,-,-,56,78,61,44,No,83049,Iron,13,0,11,Yes,N,0
SS,Royce Clayton,R,R,62,76,73,106,36,63,72,56,71,86,57,48,87,Normal,Spray,Spray,1,2,1,1,3,1,2,1,1,3,1,5,-,-,-,101,64,91,89,3,10,4,-,-,-,-,-,93,-,-,-,79,83,87,99,No,83915,Iron,9,0,7,Yes,N,0
SP,Patrick Corbin,L,L,70,70,50,54,3,21,24,71,52,51,3,23,26,Groundball,Spray,Spray,75,78,84,74,80,61,68,76,70,68,60,93,-,-,-,28,51,49,21,23,22,39,84,-,67,-,-,-,15,-,8,11,5,17,11,No,85251,Iron,13,0,14,Yes,N,0
RP,Yerry De Los Santos,R,R,15,15,28,16,1,5,34,16,26,14,1,5,32,Normal,Normal,Normal,63,79,74,67,86,65,89,75,86,91,17,52,1,1,1,35,33,50,28,3,3,3,80,-,60,17,21,-,-,-,-,14,7,15,21,No,82560,Iron,9,0,8,Yes,N,0
C,Ted Easterly,L,R,97,38,45,10,1,54,55,118,122,101,1,60,114,Groundball,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,2,63,60,73,3,4,3,2,55,54,67,-,62,-,-,-,-,-,-,59,67,78,82,59,No,84686,Iron,9,0,10,No,N,0
RF,Jerar Encarnacion,R,R,86,85,73,60,85,76,62,87,70,59,84,67,52,Normal,Ex. Pull,Pull,1,24,1,70,1,1,27,1,79,1,1,-,1,1,6,20,34,40,11,56,50,82,62,-,48,-,5,-,66,39,66,10,72,19,56,No,81715,Iron,9,0,6,Yes,N,0
CL,Kyle Finnegan,R,R,34,34,31,18,5,26,30,34,31,18,5,26,30,Normal,Normal,Normal,74,79,75,85,76,71,78,73,88,74,15,53,-,-,-,28,16,30,15,-,-,-,52,-,41,-,-,-,-,-,-,18,11,33,9,No,82417,Iron,8,0,10,Yes,N,0
DH,David Fry,R,R,66,66,66,65,85,74,67,67,66,63,83,70,66,Normal,Pull,Pull,1,25,1,74,1,1,27,1,80,1,3,-,41,49,55,41,49,55,35,44,48,54,92,39,67,31,34,19,47,16,40,38,85,13,56,No,82426,Iron,10,0,8,Yes,N,0
RP,Carson Fulmer,R,R,21,21,18,3,6,21,14,21,17,4,5,21,13,Normal,Normal,Normal,66,70,72,80,66,72,76,75,84,73,34,61,-,-,-,24,20,50,21,33,39,58,57,-,36,-,8,-,34,-,30,19,18,19,20,No,81908,Iron,8,0,6,Yes,N,0
3B,Troy Glaus,R,R,58,88,82,100,71,111,77,36,46,84,112,94,59,Normal,Pull,Pull,1,5,1,2,7,1,5,1,1,7,1,19,-,-,-,72,39,83,47,5,1,6,-,-,98,-,62,50,-,-,-,62,73,51,89,No,83934,Iron,696,161,1 500,Yes,N,0
SP,Emerson Hancock,R,R,19,19,20,18,6,14,20,19,20,18,6,14,20,Normal,Normal,Normal,64,69,82,83,62,66,73,83,88,66,66,52,2,2,4,20,24,63,28,18,23,30,61,-,44,-,18,-,8,-,-,17,17,11,23,No,82230,Iron,14,0,0,Yes,N,0
2B,Bucky Harris,R,R,71,56,79,69,50,85,108,76,84,79,32,95,93,Normal,Normal,Normal,1,1,1,1,1,1,1,1,2,1,1,21,-,-,-,48,55,27,61,9,7,2,-,-,-,46,-,-,-,-,-,73,78,81,89,No,84332,Iron,16,6,15,Yes,N,0
RP,Jaden Hill,R,R,18,18,18,13,5,14,17,18,18,13,5,14,17,Normal,Normal,Normal,75,70,68,70,71,85,77,73,73,79,19,43,3,3,1,26,23,23,9,16,18,23,54,-,46,-,-,-,4,-,-,41,42,43,40,No,81804,Iron,10,0,9,Yes,N,0
SP,Jake Irvin,R,R,19,20,18,17,5,15,16,19,18,15,4,13,16,Normal,Normal,Normal,65,70,80,90,61,68,72,81,89,64,67,45,1,1,1,23,28,66,31,1,1,1,69,-,54,8,23,-,-,-,-,13,6,11,23,No,82030,Iron,8,0,8,Yes,N,0
SP,Tim Keefe,R,R,28,28,23,63,5,38,18,28,23,63,5,37,18,Normal,Normal,Normal,84,74,57,78,72,83,72,56,76,70,95,56,-,-,-,30,23,26,24,4,3,8,62,-,-,-,-,-,-,-,-,63,76,72,52,No,84240,Iron,17,0,15,Yes,N,0
SP,Ray Kolp,R,R,14,12,14,31,35,31,15,15,16,26,20,32,17,Normal,Spray,Spray,42,61,82,67,58,63,81,83,92,76,64,115,-,-,-,35,36,32,26,3,3,10,79,-,-,-,-,-,-,-,-,5,6,4,5,No,83058,Iron,10,0,9,Yes,N,0
RP,Jake Latz,R,L,17,17,33,26,6,15,44,17,33,26,6,15,44,Normal,Normal,Normal,83,81,65,92,76,80,79,64,89,74,20,55,2,2,4,37,30,50,24,37,12,10,79,-,61,-,-,-,17,-,-,19,22,13,21,No,82198,Iron,8,0,14,Yes,N,0
RP,Brendon Little,L,L,17,17,18,22,2,14,18,17,18,22,2,14,18,Normal,Normal,Normal,101,81,56,73,85,89,76,51,74,78,16,62,1,1,1,18,35,44,21,28,33,43,63,-,40,-,-,-,23,-,16,19,11,19,26,No,82491,Iron,9,0,9,Yes,N,0
3B,Frank Malzone,R,R,72,75,89,67,66,65,105,72,90,68,71,49,114,Normal,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,16,-,-,-,70,62,81,40,10,6,5,-,-,-,-,69,-,-,-,-,33,44,19,54,No,83931,Iron,7,0,6,No,N,0
C,Gus Mancuso,R,R,76,55,87,24,10,62,144,82,104,66,63,60,140,Groundball,Normal,Normal,1,1,1,1,1,1,1,1,2,1,1,25,56,69,83,2,7,7,7,4,9,10,-,67,-,-,-,-,-,-,-,18,11,11,13,No,83936,Iron,11,0,11,Yes,N,0
RP,Ron Marinaccio,R,R,18,18,20,14,7,17,22,18,20,14,7,17,22,Normal,Normal,Normal,76,69,68,75,67,84,79,74,80,79,19,59,1,1,1,31,31,38,3,7,28,18,71,-,53,-,5,-,-,-,-,15,12,14,18,No,84921,Iron,27,8,31,Yes,N,0
2B,Jack Marshall,R,R,55,57,73,63,41,86,92,55,71,62,39,83,89,Normal,Normal,Normal,1,9,1,19,5,1,9,1,19,5,1,11,1,1,1,78,65,50,82,66,49,56,-,-,67,84,60,61,71,-,63,60,68,35,53,No,84417,Iron,8,0,9,Yes,N,0
2B,Marcelo Mayer,L,R,73,73,72,88,67,70,72,74,73,89,68,71,73,Line Drive,Pull,Pull,1,25,8,74,1,1,26,8,77,1,8,12,3,3,2,82,68,85,65,67,57,58,132,-,100,85,82,73,74,51,67,47,63,32,46,No,82603,Iron,8,0,8,Yes,N,0
C,James McCann,R,R,85,87,79,78,63,58,74,85,77,71,62,55,71,Normal,Spray,Spray,1,26,6,78,1,1,25,6,73,1,2,-,60,58,63,14,40,52,8,35,40,56,64,56,44,-,-,-,35,-,30,4,16,7,40,No,81844,Iron,7,0,9,Yes,N,0
SP,Keider Montero,R,R,17,17,19,26,1,19,21,17,19,26,1,19,21,Normal,Normal,Normal,63,71,76,81,66,66,74,78,82,71,56,49,1,1,1,39,45,52,33,36,44,51,88,-,67,27,29,9,37,-,30,14,7,15,19,No,82397,Iron,8,0,7,Yes,N,0
SP,Luis Morales,R,R,19,18,23,22,2,17,29,20,23,20,3,19,26,Normal,Normal,Normal,70,69,69,77,66,71,74,70,83,70,59,46,2,2,2,22,17,55,13,11,18,23,52,-,39,-,1,-,-,-,-,7,4,13,5,No,82277,Iron,8,0,8,Yes,N,0
RP,Johnny Murphy,R,R,1,1,5,3,1,5,2,2,5,5,1,7,2,Normal,Spray,Spray,48,64,91,62,66,63,85,87,121,67,24,115,-,-,-,33,13,23,23,8,2,9,55,-,-,-,-,-,-,-,-,10,6,3,16,No,83089,Iron,14,0,15,Yes,N,0
1B,Connor Norby,R,R,83,83,72,89,74,72,62,84,72,84,74,71,61,Normal,Normal,Normal,1,26,21,76,1,1,28,22,82,1,19,50,3,3,3,61,68,56,58,55,53,51,115,-,69,63,55,46,58,31,50,40,72,45,69,No,82107,Iron,8,0,10,Yes,N,0
LF,Rube Oldring,R,R,66,69,87,65,61,59,112,66,84,88,83,37,108,Normal,Pull,Pull,1,1,1,1,2,1,1,1,1,2,1,20,-,-,-,2,4,1,1,45,84,50,-,-,-,-,-,-,54,21,-,80,82,88,95,No,83522,Iron,14,0,12,Yes,N,0
C,Pedro Pages,R,R,75,77,75,67,76,62,74,75,74,66,74,61,74,Normal,Pull,Pull,1,26,1,77,1,1,25,1,73,1,1,-,69,75,68,27,35,57,13,42,41,55,76,70,49,-,20,-,43,12,37,28,16,5,23,No,81872,Iron,9,0,10,Yes,N,0
RF,Tom Poorman,L,R,69,68,72,81,76,60,78,70,75,83,81,61,83,Normal,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,14,-,-,-,2,2,4,3,55,71,65,-,-,-,-,-,-,-,-,60,88,98,98,103,No,82877,Iron,8,0,8,Yes,N,0
RF,Dick Porter,L,R,78,79,89,68,62,74,100,78,87,80,42,83,96,Normal,Normal,Normal,1,3,1,1,5,1,3,1,1,5,1,20,-,-,-,2,7,3,6,49,105,51,-,-,-,-,-,-,-,-,53,43,49,19,41,No,83492,Iron,9,0,13,Yes,N,0
1B,Jackie Robinson,R,R,80,82,98,82,93,89,117,80,95,75,39,65,114,Normal,Spray,Spray,1,3,1,1,5,1,3,1,1,5,1,20,-,-,-,67,59,66,81,5,4,10,-,-,74,-,-,-,-,-,-,92,83,79,96,No,84390,Iron,14,0,18,Yes,N,0
RP,Jordan Romano,R,R,46,46,41,36,11,40,39,46,41,36,11,40,39,Normal,Normal,Normal,94,69,75,72,68,88,72,72,80,68,15,56,2,2,1,23,18,52,16,14,18,31,53,-,44,-,2,-,-,-,-,18,17,15,23,No,82314,Iron,9,0,10,Yes,N,0
3B,Amed Rosario,R,R,79,81,89,75,64,53,96,79,86,72,63,46,94,Normal,Normal,Spray,1,26,5,76,1,1,25,5,73,1,2,-,-,-,-,62,61,74,65,67,60,66,115,-,88,65,64,52,76,52,70,95,81,54,75,No,82565,Iron,9,0,8,Yes,N,0
RP,Joe Ross,R,R,43,43,39,17,5,26,38,43,39,17,5,26,38,Normal,Normal,Normal,62,74,73,75,74,65,77,74,77,77,34,58,-,-,-,21,32,50,19,-,-,-,66,-,49,-,13,-,-,-,-,25,25,16,33,No,81853,Iron,8,0,9,Yes,N,0
SP,Red Ruffing,R,R,45,62,46,95,60,32,31,39,32,77,41,41,26,Line Drive,Spray,Spray,38,84,70,120,66,61,61,88,63,61,88,115,-,-,-,27,35,31,30,5,6,5,72,-,-,-,-,-,-,-,-,6,6,5,8,No,83866,Iron,22,0,14,Yes,N,0
RP,Jack Russell,R,R,9,11,10,38,2,34,7,9,12,24,4,23,14,Normal,Normal,Normal,68,69,67,71,69,84,75,81,62,82,25,33,-,-,-,35,29,29,24,8,4,5,75,-,-,-,-,-,-,-,-,12,6,5,19,No,83091,Iron,9,0,10,Yes,N,0
RP,Buddy Schultz,R,L,1,1,4,3,1,3,1,1,4,3,1,3,1,Normal,Pull,Pull,83,42,88,75,26,115,51,88,66,44,22,34,-,-,-,27,20,23,23,6,1,5,55,-,-,-,-,-,-,-,-,5,6,3,7,No,83100,Iron,10,0,11,Yes,N,0
CL,Paul Sewald,R,R,28,28,26,29,5,16,26,28,26,29,5,16,26,Normal,Normal,Normal,84,63,83,89,50,83,70,82,102,54,14,61,-,-,-,27,18,43,12,-,-,-,56,-,44,-,-,-,-,-,-,10,2,14,13,No,81854,Iron,10,0,9,Yes,N,0
RP,Ryne Stanek,R,R,22,22,23,18,11,35,24,22,23,18,11,35,24,Normal,Normal,Normal,86,79,61,72,83,86,82,60,77,85,14,57,2,2,1,24,28,48,22,7,20,32,65,-,50,1,12,-,-,-,-,9,14,7,7,No,81885,Iron,8,0,8,Yes,N,0
RP,Cole Sulser,R,R,36,36,35,16,13,41,37,36,35,16,13,41,37,Normal,Normal,Normal,68,73,78,71,74,74,76,81,74,78,19,46,1,1,3,22,30,48,25,6,25,33,65,-,42,3,12,-,-,-,-,19,4,14,40,No,82539,Iron,9,0,7,Yes,N,0
RF,Colby Thomas,R,R,86,85,71,114,82,71,58,87,72,111,83,65,58,Normal,Pull,Pull,1,24,1,70,1,1,27,1,79,1,1,-,1,1,4,36,23,12,16,66,65,65,64,-,42,-,-,-,76,51,70,42,67,42,56,No,82265,Iron,8,0,10,Yes,N,0
1B,Abraham Toro,S,R,68,79,82,83,63,67,87,65,74,81,79,68,86,Normal,Pull,Pull,1,34,1,102,1,1,22,1,65,1,1,-,23,23,51,44,48,59,40,45,46,50,94,15,70,35,38,23,46,16,39,56,74,23,53,No,82361,Iron,7,0,6,Yes,N,0
RP,Ken Waldichuk,L,L,21,21,22,26,8,10,23,21,22,26,8,10,23,Normal,Normal,Normal,81,77,64,84,74,79,73,63,82,69,36,56,1,1,2,19,58,31,23,14,7,3,80,-,57,-,-,-,-,-,-,12,6,18,13,No,84899,Iron,10,0,15,Yes,N,0
LF,Taylor Ward,R,R,50,56,73,75,61,100,92,49,70,65,83,88,89,Normal,Pull,Pull,1,5,1,1,7,1,5,1,1,7,1,10,-,-,-,9,6,8,9,52,67,52,-,-,-,-,-,-,58,-,50,34,67,35,60,No,83468,Iron,8,0,12,Yes,N,0
RP,Greg Weissert,R,R,14,16,17,14,2,12,18,14,16,12,1,10,17,Normal,Pull,Pull,76,72,76,78,70,78,74,77,77,73,16,46,1,1,1,25,43,33,29,1,1,1,76,-,55,11,6,-,-,-,-,25,18,12,44,No,82596,Iron,7,0,9,Yes,N,0
RP,Jake Woodford,R,R,29,30,27,30,2,13,25,29,26,29,1,11,24,Normal,Normal,Normal,61,71,84,69,72,63,78,86,72,81,36,43,4,4,3,30,30,45,3,19,9,16,71,-,57,-,10,-,-,-,-,16,19,12,18,No,84915,Iron,12,7,11,Yes,N,0
CL,Tim Worrell,R,R,1,1,4,3,1,3,1,1,4,3,1,2,1,Normal,Pull,Pull,65,71,79,74,70,78,68,98,84,60,17,115,-,-,-,27,20,23,23,1,10,5,55,-,-,-,-,-,-,-,-,6,6,5,6,No,83098,Iron,7,0,7,No,N,0
SP,Hank Wyse,R,R,17,29,33,33,1,9,40,14,40,52,1,16,62,Normal,Normal,Normal,43,76,94,103,63,51,70,102,56,78,64,100,-,-,-,32,22,25,23,3,6,3,63,-,-,-,-,-,-,-,-,26,11,5,29,No,84021,Iron,12,0,17,Yes,N,0
CF,Buster Adams,R,R,70,81,78,78,70,81,76,67,69,67,67,74,73,Normal,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,16,-,-,-,6,5,6,6,76,65,56,-,-,-,-,-,-,84,63,76,70,46,43,83,No,84330,Iron,9,0,8,Yes,N,0
RP,Kolby Allard,L,L,17,17,28,16,3,9,33,18,29,18,4,10,34,Normal,Normal,Normal,69,71,89,73,70,62,67,84,74,64,37,67,1,1,3,18,10,49,4,22,8,31,38,-,26,-,-,-,2,-,-,16,12,11,26,No,82446,Iron,9,0,11,Yes,N,0
C,Pepper Bassett,S,R,50,49,70,78,80,44,91,51,73,80,84,46,96,Normal,Normal,Normal,41,50,59,42,54,41,50,59,44,54,61,82,66,66,60,29,21,22,19,5,8,2,57,61,47,-,-,-,-,-,-,24,12,16,34,No,84414,Iron,15,0,14,Yes,N,0
RP,Brennan Bernardino,L,L,25,25,29,25,13,23,32,25,29,25,13,23,32,Normal,Normal,Normal,77,91,66,87,93,74,82,67,77,85,14,71,2,2,1,21,26,36,8,9,22,25,55,-,44,-,-,-,-,-,-,19,14,17,28,No,81821,Iron,7,0,8,Yes,N,0
RP,Beau Brieske,R,R,20,20,23,18,5,8,26,20,23,18,5,8,26,Normal,Normal,Normal,67,75,71,80,73,66,80,70,93,74,30,38,1,1,2,28,10,48,3,60,32,16,50,-,40,-,-,-,52,28,28,17,17,11,22,No,82413,Iron,7,0,6,Yes,N,0
SP,Ches Buchanan,R,R,3,3,27,66,2,67,37,3,25,64,2,65,35,Normal,Spray,Pull,40,75,89,78,74,41,77,90,82,75,75,60,1,1,1,29,18,23,23,45,56,56,55,-,-,-,-,-,49,-,-,8,6,5,28,No,84409,Iron,9,0,6,Yes,N,0
3B,Oswaldo Cabrera,S,R,65,66,75,61,70,70,86,65,74,62,68,73,86,Normal,Spray,Spray,1,26,1,77,1,1,25,1,74,1,1,-,1,1,1,67,75,67,69,60,62,59,124,-,72,75,68,59,68,41,61,43,70,44,62,No,82553,Iron,9,0,6,Yes,N,0
SP,Slade Cecconi,R,R,24,24,21,16,7,17,18,24,21,16,7,17,18,Normal,Normal,Normal,65,65,87,81,57,67,67,88,83,60,60,68,-,-,2,15,39,46,3,21,24,13,62,-,45,-,-,-,7,-,-,16,17,11,21,No,82432,Iron,9,0,11,Yes,N,0
LF,Isaac Collins,S,R,67,69,69,74,63,98,70,67,66,72,62,102,67,Normal,Spray,Spray,1,26,1,76,1,1,25,1,73,1,1,-,2,2,1,57,65,50,60,65,62,54,111,-,59,59,49,41,72,48,64,66,76,70,50,No,82371,Iron,8,0,6,Yes,N,0
RP,Steven Cruz,R,R,19,19,29,18,1,21,35,19,29,18,1,21,35,Normal,Normal,Normal,79,80,68,80,81,75,81,66,85,80,17,47,1,1,1,24,17,59,11,13,22,23,55,-,49,-,4,-,-,-,-,15,5,17,22,No,82364,Iron,9,0,9,Yes,N,0
C,Harry Ford,R,R,69,68,70,81,68,98,74,70,70,70,62,91,71,Normal,Pull,Pull,1,24,7,70,1,1,27,7,81,1,1,8,72,70,79,46,54,67,42,66,59,72,100,74,64,40,47,30,76,51,72,33,66,42,51,No,82024,Iron,8,0,9,Yes,N,0
RP,Jose Franco,R,R,26,25,27,20,4,23,30,27,27,18,5,21,28,Normal,Normal,Normal,75,66,64,75,62,79,72,67,76,70,40,44,2,2,2,27,42,45,22,7,19,23,79,-,57,8,17,-,-,-,-,14,12,13,17,No,84981,Iron,11,0,12,Yes,N,0
2B,Vaughn Grissom,R,R,76,76,79,74,60,78,84,77,79,73,56,76,83,Normal,Pull,Pull,1,26,7,76,1,1,26,7,78,1,8,16,2,2,2,75,75,64,69,55,58,59,128,-,93,81,70,64,61,33,55,27,74,31,52,No,82302,Iron,7,0,10,Yes,N,0
SS,Frankie Gustine,R,R,85,114,117,68,19,61,110,77,84,74,28,64,92,Groundball,Spray,Spray,1,1,1,1,2,1,1,1,1,2,1,18,-,-,-,85,50,76,74,9,9,1,-,-,-,85,71,68,-,-,-,66,74,70,86,No,83421,Iron,16,0,13,Yes,N,0
RP,Edgardo Henriquez,R,R,29,28,28,20,5,17,29,30,28,18,4,19,27,Normal,Normal,Normal,90,72,61,74,71,98,76,62,80,75,18,38,1,1,2,24,32,51,19,12,18,22,69,-,53,1,15,-,-,-,-,15,12,16,17,No,81769,Iron,12,0,7,Yes,N,0
RP,Andrew Hoffmann,R,R,9,10,12,19,9,19,11,9,10,18,8,17,10,Normal,Normal,Normal,81,64,68,68,63,89,74,73,73,75,20,31,2,2,1,27,20,54,11,9,19,30,60,-,50,-,11,-,-,-,-,23,5,15,48,No,84995,Iron,14,0,0,Yes,N,0
SS,Bill Knickerbocker,R,R,59,59,81,80,46,66,113,59,79,78,59,64,104,Normal,Spray,Spray,1,1,1,1,2,1,1,1,1,2,1,4,-,-,-,80,74,78,76,4,7,8,-,-,-,89,-,74,-,-,-,48,51,43,48,No,84113,Iron,10,0,6,Yes,N,0
SP,Jack Kochanowicz,L,R,33,33,26,16,12,20,13,34,28,17,13,21,14,Normal,Normal,Normal,53,75,70,74,76,62,84,73,84,85,60,49,1,1,2,45,51,57,47,46,44,51,97,-,102,40,39,26,47,17,39,36,35,33,41,No,82297,Iron,7,0,11,Yes,N,0
RP,Jackson Kowar,R,R,33,35,33,23,1,8,35,33,32,21,1,7,34,Normal,Spray,Spray,78,75,67,79,73,77,73,66,75,72,37,73,1,1,3,21,4,32,3,17,1,18,31,-,30,-,-,-,-,-,-,13,14,23,1,No,82645,Iron,9,0,16,Yes,N,0
LF,Jim Lemon,R,R,73,77,69,107,74,81,63,72,71,108,80,79,72,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,5,-,-,-,2,9,9,10,47,40,56,-,-,-,-,-,-,48,-,42,11,11,11,22,No,83463,Iron,36,0,40,Yes,N,0
RP,Hal McKain,L,R,3,3,5,5,1,3,1,4,6,6,1,4,2,Normal,Spray,Spray,95,80,48,40,100,99,77,61,52,90,25,112,-,-,-,35,20,26,23,6,2,6,65,-,-,-,-,-,-,-,-,6,6,4,8,No,82807,Iron,14,0,10,Yes,N,0
CF,Kameron Misner,L,L,69,69,60,79,57,89,47,70,62,73,69,95,52,Normal,Pull,Pull,1,28,1,82,1,1,28,1,83,1,-,-,-,-,-,33,36,57,21,77,69,80,80,-,66,-,-,-,92,70,89,65,83,69,71,No,82358,Iron,9,0,8,Yes,N,0
RP,Sam Moll,L,L,44,44,38,17,1,36,34,44,38,17,1,36,34,Normal,Normal,Normal,89,84,65,93,80,80,77,63,86,73,13,67,-,-,-,27,23,47,17,-,-,-,62,-,33,-,-,-,-,-,-,31,6,47,39,No,81968,Iron,10,0,7,Yes,N,0
RP,Hector Neris,R,R,22,22,23,23,5,26,25,22,23,23,5,26,25,Normal,Normal,Normal,91,69,66,80,64,92,75,65,91,68,14,51,-,-,-,26,12,47,15,-,-,-,51,-,38,-,-,-,-,-,-,14,6,18,17,No,82356,Iron,9,0,8,Yes,N,0
1B,Bob Oliver,R,R,61,73,74,98,87,58,77,53,66,71,92,63,79,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,21,-,-,-,51,34,42,31,10,7,2,-,-,73,-,23,-,-,-,-,50,58,23,48,No,83433,Iron,7,0,9,No,N,0
C,Tom Padden,R,R,58,63,79,55,43,115,100,55,71,41,28,108,89,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,36,79,53,7,3,2,10,6,3,1,-,50,-,-,-,-,-,-,-,27,16,5,41,No,82879,Iron,8,0,8,Yes,N,0
CF,Double Duty Radcliffe,R,R,45,45,66,88,30,77,84,45,64,91,28,69,80,Line Drive,Normal,Spray,51,80,68,67,87,52,84,69,70,91,64,60,65,65,66,29,20,25,25,75,61,61,58,63,-,-,-,-,84,62,-,27,64,21,49,No,84418,Iron,13,0,11,Yes,N,0
RP,Trevor Richards,R,R,22,21,23,24,1,48,26,23,25,25,1,46,28,Normal,Pull,Pull,88,67,70,72,65,90,75,71,87,69,18,43,1,1,1,33,48,47,30,3,3,3,86,-,66,22,25,-,-,-,-,20,17,18,24,No,82058,Iron,8,0,9,Yes,N,0
2B,Leonardo Rivas,S,R,67,67,63,60,38,105,60,68,63,52,40,115,58,Normal,Spray,Spray,4,40,45,78,21,4,42,46,84,21,19,22,1,1,1,67,60,60,68,72,55,60,116,-,70,69,58,52,79,58,72,57,82,72,86,No,82235,Iron,7,0,10,Yes,N,0
RP,Taylor Rogers,L,L,25,25,27,32,1,30,30,25,27,32,1,30,30,Normal,Normal,Normal,94,80,68,77,82,84,71,66,67,74,14,63,-,-,-,22,26,38,25,-,-,-,58,-,44,-,-,-,-,-,-,16,17,14,17,No,82349,Iron,9,0,12,Yes,N,0
C,Drew Romo,S,R,61,61,67,63,60,63,75,62,67,65,62,61,74,Normal,Pull,Pull,1,25,3,75,1,1,26,3,77,1,2,18,91,95,80,14,28,46,8,7,30,36,50,96,31,-,-,-,-,-,-,35,63,34,53,No,85238,Iron,12,0,40,Yes,N,0
RP,Erik Sabrowski,R,L,37,37,29,48,53,35,15,38,30,50,56,36,16,Normal,Pull,Pull,109,75,49,85,71,107,74,50,84,70,20,54,2,2,1,28,21,47,19,6,24,23,61,-,49,-,-,-,-,-,-,15,8,18,18,No,82429,Iron,17,0,21,Yes,N,0
RP,Nick Sandlin,R,R,31,32,25,30,6,12,15,31,23,29,6,10,14,Normal,Normal,Normal,87,67,65,85,58,97,75,68,93,67,14,39,1,1,4,26,28,58,18,3,4,22,70,-,40,1,18,-,-,-,-,23,21,17,31,No,82313,Iron,8,0,9,Yes,N,0
RP,Paul Shuey,R,R,1,1,5,4,1,4,1,1,5,4,1,4,1,Normal,Normal,Normal,101,67,62,73,65,117,70,63,77,67,19,34,-,-,-,26,20,23,23,3,4,3,55,-,-,-,-,-,-,-,-,5,6,5,5,No,83081,Iron,667,0,0,No,Y,1
SP,Tomoyuki Sugano,R,R,17,17,41,31,1,21,63,17,41,31,1,21,63,Normal,Normal,Normal,56,62,99,81,53,60,65,102,84,56,69,72,2,2,4,24,43,75,29,14,32,53,82,-,53,13,35,-,2,-,-,4,2,2,8,No,81828,Iron,8,0,7,Yes,N,0
LF,Chris Taylor,R,R,95,98,78,77,69,78,60,95,76,68,69,72,59,Groundball,Ex. Pull,Pull,1,29,1,86,1,1,27,1,81,1,-,-,1,1,3,62,48,65,66,60,60,59,108,-,81,61,53,45,67,41,60,44,78,55,73,No,82298,Iron,8,0,10,Yes,N,0
RP,Gus Varland,L,R,15,15,21,15,4,13,27,16,22,16,5,14,29,Normal,Spray,Spray,87,76,75,66,81,78,73,66,69,75,18,40,1,1,4,19,18,56,3,34,12,35,48,-,31,-,-,-,20,-,8,17,23,16,14,No,84931,Iron,10,0,10,Yes,N,0
3B,Will Wagner,L,R,72,68,70,83,44,86,74,74,78,78,49,90,84,Normal,Pull,Pull,1,23,1,67,1,1,29,1,87,1,1,23,1,1,1,60,54,57,57,52,61,50,107,-,71,57,49,40,56,28,48,47,63,19,47,No,81733,Iron,8,0,8,Yes,N,0
2B,Bill Wambsganss,R,R,57,57,84,88,34,106,124,58,79,82,35,89,109,Normal,Normal,Normal,1,3,1,1,4,1,3,1,1,4,1,20,-,-,-,60,56,36,67,5,4,5,-,-,-,60,-,37,-,-,-,64,66,77,69,No,82875,Iron,17,0,6,Yes,N,0
RP,Ryan Watson,R,R,12,12,12,17,13,15,10,12,12,17,13,15,10,Normal,Normal,Normal,68,66,72,72,64,76,77,82,75,78,20,58,1,1,1,43,24,52,11,29,30,43,79,-,73,8,19,-,24,-,17,12,8,11,18,No,84913,Iron,16,0,15,Yes,N,0
3B,Buck Weaver,S,R,81,77,81,91,61,67,87,83,107,67,43,49,145,Groundball,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,6,-,-,-,59,56,73,58,7,10,1,-,-,-,-,59,46,-,-,-,64,79,80,60,No,83556,Iron,10,0,6,Yes,N,0
SP,Brandon Young,R,R,14,15,21,17,4,16,26,14,19,16,4,15,24,Normal,Pull,Pull,66,65,85,75,61,68,66,85,74,62,54,37,1,1,1,7,38,49,5,8,17,11,53,-,40,-,-,-,-,-,-,11,9,13,11,No,82629,Iron,8,0,8,Yes,N,0
